Counts,of hosts dublicates when FLD's collected by get_tld on pyhton
10,yeukydrant.com
10,yx-ads6.com
10,zarabotki.ru
10,zdn.vn
10,zetaglobal.com
10,zxy.me
11,1017.cn
11,123date.me
11,21sexturycash.com
11,365media.com
11,3d0cb547.space
11,3ddown.com
11,3gmimo.com
11,41gw.com
11,5sercher.biz
11,7search.com
11,8live.com
11,9wee.com
11,a2ip.ru
11,accesstrade.in.th
11,adalizer.com
11,adatrix.com
11,adclixx.net
11,adfinix.com
11,adfonic.net
11,adinte.jp
11,admedo.com
11,ad.net
11,adnet-plus.com
11,adonweb.ru
11,adprofy.com
11,ad-serverparc.nl
11,adsfast.com
11,adsoptimal.com
11,adsplus.vn
11,adstage.io
11,ad-tizer.net
11,adtrafficjam.com
11,adurr.com
11,advertlink.ru
11,advertwizard.com
11,adworx.at
11,adxmi.com
11,adxpremium.services
11,adxpub.com
11,afrigrowth.org
11,agilemeasure.com
11,aiclicash.com
11,aiservice.vn
11,alimama.cn
11,allfontshere.press
11,a-msedge.net
11,andase.com
11,antiblock.info
11,armi.media
11,atomhike.com
11,atspace.com
11,atylia-deco.fr
11,audience2media.com
11,authorizeddns.org
11,authorizeddns.us
11,badspads.com
11,baixing.com
11,bannerout.com
11,bayimob.com
11,bd4travel.com
11,beanstalkdata.com
11,belowto.com
11,bereallylongblue.icu
11,best2018games.com
11,bestdealfor1.life
11,bid.run
11,bigmir.net
11,blogfa.com
11,bloghotro.com
11,bloke.com
11,bluehost.com
11,bnserving.com
11,brightcom.com
11,brightfunnel.com
11,brightinfo.com
11,brokerbabe.com
11,btnibbler.com
11,buildtraffic.com
11,byethost17.com
11,capitalnoster.site
11,captify.co.uk
11,cashburners.com
11,cashmyvisit.com
11,caspion.com
11,cdn-pak.net
11,ceramicasouzatex.com
11,cetrk.com
11,cheekybanners.com
11,china-netwave.com
11,ciuvo.com
11,cleanfile.org
11,clickening.com
11,clickexperts.net
11,clickguard.com
11,clickpapa.com
11,cloudappconfig.com
11,comcastbusiness.net
11,company-target.com
11,condenastdigital.com
11,contactmonkey.com
11,cpex.cz
11,crossandgarlic.com
11,cryptonoter.com
11,cryptotab.net
11,cyacc.com
11,ddns.com.br
11,depozituldegeneratoare.ro
11,dgmatix.com
11,dh956.com
11,diamondtraff.com
11,digitalnames.net
11,divyapushti.org
11,dnsrd.com
11,do.am
11,dochase.com
11,dogeminers.com
11,dogexfast.com
11,doorblog.jp
11,douglassstevens.com
11,dynainbox.com
11,elephantdata.net
11,enoughts.info
11,eorezo.com
11,epicgamecheats.com
11,espncdn.shop
11,eu5.org
11,euro-clic.com
11,eurodialer.com
11,everestads.net
11,experthealth.com
11,facebook1mob.com
11,fhserve.com
11,filetarget.net
11,flashx.cc
11,fortvision.com
11,freelancershijan.com
11,freestats.ws
11,frequiry.com
11,ftvcash.com
11,fuligrs.cn
11,fun2cell.net
11,fwbntw.com
11,gacraft.jp
11,gaug.es
11,geolocation-db.com
11,getintent.com
11,getsmartcontent.com
11,gitv.tv
11,globalhacks.org
11,go8news.biz
11,goodadvert.ru
11,gopetrom.com
11,go.ro
11,gostats.org
11,got-game.org
11,grejt.pl
11,gunggo.com
11,hashto.cash
11,hexcan.com
11,hiconversion.com
11,himediads.com
11,hoelscher1.com
11,hoster-test.ru
11,hubpd.com
11,hulu.com
11,hybrid.ru
11,hyperpromote.com
11,iap5u1rbety6vifaxsi9vovnc9jjay2l.com
11,ieplugin.com
11,imgsniper.com
11,indexww.com
11,inethoster.org
11,infoprodata.com
11,infostore.org
11,interclick.com
11,inviziads.com
11,iogous.com
11,ipinyou.com.cn
11,ispot.cc
11,itracker360.com
11,jiehunmishu.com
11,jimdo.com
11,jivox.com
11,jps.ru
11,kkcaicai.com
11,ksosoft.com
11,ktxtr.com
11,kuwo.cn
11,ladsblue.com
11,lcads.ru
11,leadback.ru
11,leadsius.com
11,leafmedia.io
11,link2me.ru
11,load13.biz
11,load20.biz
11,load22.biz
11,loginhood.io
11,loopme.me
11,lsfinteractive.com
11,lucky88.net
11,luxup2.ru
11,luxupadva.com
11,luxupcdnb.com
11,lzclient.com
11,lzjl.com
11,makingdomes.com
11,meconnect.org
11,media-active.ru
11,media-match.com
11,meibu.net
11,metaps.net
11,metricool.com
11,minerclaim.net
11,mineweb.in
11,mixplugin.com
11,mng-ads.com
11,mobilizr.com
11,mobioffers.ru
11,mobshark.net
11,modernus.is
11,moneyandmarkets.com
11,moneyhome.biz
11,moonify.io
11,motigo.com
11,moviecash.ru
11,mppmnetwork.com
11,mrslove.com
11,myftpupload.com
11,myornamenti.com
11,mypagestats.online
11,nba.com
11,nearbyad.com
11,netapp.com
11,netdna-ssl.com
11,news-back.org
11,newsinform.net
11,nhlavuteloholdings.co.za
11,nimiq.watch
11,nitropay.com
11,noblock.pro
11,nowlooking.net
11,oix.com
11,olduvsen.cz
11,opbeingop.com
11,oracleinfinity.io
11,osiaffiliate.com
11,owebmoney.ru
11,parisvoyeur.com
11,pebblemedia.be
11,pffw8mgd.com
11,pgssl.com
11,phluant.com
11,phoenixads.co.in
11,phorm.com
11,plerdy.com
11,populisengage.com
11,porntrack.com
11,ppoi.org
11,proadscdn.com
11,proext.com
11,programattik.com
11,provesrc.com
11,pubdream.com
11,publicgood.com
11,pubplus.com
11,punkdns.pw
11,putrr15.com
11,qfind.net
11,qmkr7isp3o.com
11,raacts.in
11,rate.ru
11,refer.ru
11,refinedads.com
11,resonance.pk
11,revenuenetwork.com
11,r-tb.com
11,rtbiq.com
11,rumahweb.org
11,runative.com
11,sakura-traffic.com
11,samba.tv
11,savvyads.com
11,searchalot.com
11,searchfun.in
11,securityupdateserver-1.com
11,semiocast.com
11,servconfig.com
11,shoppingminds.net
11,signaturesafari.com
11,snapchat.com
11,snmi.cn
11,socssite.ru
11,software-phile.com
11,spinbox.net
11,sportradar.com
11,spotsniper.ru
11,spottt.com
11,sskzlabs.com
11,standby.org
11,startnow.com
11,statistichegratis.net
11,stat-rock.com
11,stjbg.ru
11,switchads.com
11,t3lyem.info
11,t3nlink.com
11,tagular.com
11,tamedia.com.tw
11,targeterra.info
11,teasers.ru
11,tovery.net
11,tracking202.com
11,trackmytarget.com
11,trade360.com
11,transactionale.com
11,truecash.com
11,tsbluebox.com
11,tv69.com
11,tx2.ru
11,typekit.net
11,ubertags.com
11,unblckd.bet
11,unimhk.com
11,uniquecaptcha.com
11,untirta.ac.id
11,vidileak.com
11,virtual-nights.com
11,visistat.com
11,vprza.com
11,w88club.com
11,walmart.com
11,watchingthat.com
11,web.de
11,weblium.site
11,weborama.io
11,webserviceaward.com
11,webwise.com
11,webwise.net
11,whizzco.com
11,winadx.com
11,wmlink.ru
11,woniu.com
11,wordego.com
11,wufoo.com
11,wwclickserv.club
